handle,followers
mandrea_a,136.7K
oussama.benbot,75.7K
luca,2.3M
aissamandi23,1.5M
m.dorval93,109.8K
tougai_med_amine,4.8K
belaidzineddine_04,212.2K
jaouen.h3,279.7K
r.aitnouri,1.0M
youcefatal,3.3M
rbens.official,3.4M
rafikbelghali17,239.5K
chergui31_,213.3K
rramizz_,394.7K
h.abdelli8,283.9K
ismaelbennacer,4.0M
hicham_boudaoui,1.3M
fareschaibi28,756.4K
ademzorgane8,83.7K
__ilan.k__,190.9K
adel_boulbina10,895.9K
riyadmahrez26.7,12.6M
baghdad_bounjah,3.7M
hadj.a20,863.5K
11bakrarmounsef,149.4K
amoura_mohammed_el_amine,1.2M
ibomaza,1.3M
redouane_.berkane,119.6K
gerorulli,1.0M
walterbenitezoficial,92.6K
demiantalavera,2.7K
cutiromero2,5.1M
nicolasotamendi30,8.7M
tagliafico3,4.2M
marcosenesi,577.4K
kevitomac97,107.2K
juanfoyth,1.3M
rodridepaul,14.0M
locelsogiovani,3.5M
em10buendia,269.2K
alemacallister,8.6M
thiago_almada23,2.2M
maxiperrone16,173.7K
colo.barco,2.2M
nicopaz1o,2.1M
leomessi,511.5M
nicoigonzalez,1.6M
lautaromartinez,11.8M
flacolopez_10,905.6K
gianlucaa_11,330.9K
joaco_panichelli,85.7K
matyryan,165.7K
paulizzo,8.1K
patbeach_,2.3K
milosdegenek,146.0K
jasongeria,12.2K
callumelder_,18.5K
cburgess95,22.3K
breadrowles,8.5K
jackiredale14,11.7K
lewis.miller3,12.6K
kaitrewin,2.7K
james.overy,18.0K
jacksonirvine_,307.0K
rileymcgree,32.0K
_aidenoneill,7.3K
connor_metcalfe,13.1K
cammydevlin,20.0K
max.balard,4.7K
paulokonjnr,2.2K
martin_boyle9,34.3K
craiggoodwin16,43.8K
daggers_98,6.0K
toure17,8.9K
mohamed.2re,107.0K
nestory._,128.1K
schlager_alex,14.6K
patrickpentz,43.4K
nikxpolster,2.9K
_nicolaskristof,3.9K
davidalaba,15.4M
philipp_lienhart,54.8K
marcofriedl_32,112.0K
stefanposxx,105.9K
mwene,34.0K
kevin.danso,232.3K
alex__prass,30.1K
leoquerfeld,20.4K
konradlaimer,377.6K
-,Error
alessandroschoepf,61.0K
floriangrillitsch,47.2K
romano_schmid,43.5K
xav_er_,33.8K
baumi_14,93.7K
patrick_wimmer,35.4K
nicolasseiwald,32.0K
m.arnautovic7,530.6K
mgregerl,84.3K
marcogruell,16.2K
r10.raul,6.8K
-,Error
thibautcourtois,17.6M
matzsels,102.4K
maarten_vandevoordt,41.5K
senne_lammens,1.2M
mike.penders,78.2K
axelwitsel28,1.3M
thomas12meunier,929.9K
brandonmechele,35.1K
timothycastagne,88.5K
maxim.decuyper,53.1K
arthurtheate,88.4K
konidewinter,103.7K
ngoy_nathan,30.7K
joaquinseys65,20.9K
youritielemans,602.7K
hansvanaken20,81.4K
n.raskin,113.2K
charlesvanhoutte,9.1K
its_onana,652.4K
leandrotrossard,1.6M
lukebakio,164.4K
alexis.saelemaekers,643.9K
l.openda,408.7K
jeremydoku,3.4M
charlesdeketelaere,334.7K
diegzyyy,320.2K
romeo_vermant_,29.3K
ederson93,5.7M
johnvictor,295.0K
bento_matheus,439.0K
alxsndro12,2.7M
marquinhosm5,7.1M
daniluiz2,4.0M
edermilitao,10.8M
pholiveira_96,294.4K
fabriciobruno96,1.1M
caio_hennriquee,10.6K
